dif	sp	mType	tel	ax
1.40133139391258	G	T-to-G	PAR1	PAR1
-0.158834059223572	O	C-to-A	2R	A
0.995514279030166	O	C-to-A	4R	A
-0.983711972160558	O	C-to-A	5R	A
-1.58798109997764	O	C-to-A	6L	A
-0.150441635212217	O	C-to-A	6R	A
-0.548318147796517	O	C-to-A	7R	A
0.242248789004375	O	C-to-A	8L	A
1.0454316047965	O	C-to-A	8R	A
0.166270001746626	O	C-to-A	9R	A
0.0705456789337546	O	C-to-A	10L	A
0.393121138132426	O	C-to-A	10R	A
0.836437415582804	O	C-to-A	11L	A
-0.424780600295066	O	C-to-A	11R	A
-2.20648766898513	O	C-to-A	12L	A
-0.940516261294686	O	C-to-A	12R	A
0.121098009884899	O	C-to-A	13R	A
0.589112345221949	O	C-to-A	14R	A
0.683040192786834	O	C-to-A	16L	A
-0.785263448258857	O	C-to-A	16R	A
-1.12940794963412	O	C-to-A	17L	A
-0.0218837073256003	O	C-to-A	18R	A
1.3240123428409	O	C-to-A	19L	A
2.93474641759122	O	C-to-A	19R	A
-0.0972158872138849	O	C-to-A	21R	A
-0.0498095926054091	O	C-to-A	22R	A
-0.316926185569181	O	C-to-A	PAR1	PAR1
-0.681424085536754	O	C-to-G	2R	A
-1.53658190139443	O	C-to-G	4R	A
-0.574389467444407	O	C-to-G	5R	A
-1.19682386135983	O	C-to-G	6L	A
-0.679000895847482	O	C-to-G	6R	A
-0.642950004310587	O	C-to-G	7R	A
0.292509270477836	O	C-to-G	8L	A
0.851315025764952	O	C-to-G	8R	A
-0.0355501896085064	O	C-to-G	9R	A
-0.507260099143396	O	C-to-G	10L	A
-0.541445665560032	O	C-to-G	10R	A
0.447363075733254	O	C-to-G	11L	A
-0.310311653225516	O	C-to-G	11R	A
-0.422728008932918	O	C-to-G	12L	A
-0.220583346794453	O	C-to-G	12R	A
-1.37800890350496	O	C-to-G	13R	A
0.659386609616743	O	C-to-G	14R	A
1.72239569914284	O	C-to-G	16L	A
0.257547907348778	O	C-to-G	16R	A
0.871826123973004	O	C-to-G	17L	A
-0.916466553407763	O	C-to-G	18R	A
1.45215808267273	O	C-to-G	19L	A
-0.250808411026315	O	C-to-G	19R	A
-0.012681395879577	O	C-to-G	21R	A
0.280933854901119	O	C-to-G	22R	A
3.07157879334568	O	C-to-G	PAR1	PAR1
0.661627496667817	O	C-to-T	2R	A
-1.53668516035467	O	C-to-T	4R	A
-0.789947003640958	O	C-to-T	5R	A
-1.99397585602229	O	C-to-T	6L	A
-0.180390274244762	O	C-to-T	6R	A
0.0459315831828625	O	C-to-T	7R	A
-0.223474054154734	O	C-to-T	8L	A
1.02614017859648	O	C-to-T	8R	A
1.30499558932361	O	C-to-T	9R	A
-0.725539267677351	O	C-to-T	10L	A
0.384596416448856	O	C-to-T	10R	A
1.92739934410368	O	C-to-T	11L	A
-1.53383354677178	O	C-to-T	11R	A
-1.25613519200867	O	C-to-T	12L	A
0.195961956681465	O	C-to-T	12R	A
0.338438590150326	O	C-to-T	13R	A
1.00370702021308	O	C-to-T	14R	A
1.03917092218942	O	C-to-T	16L	A
0.568114785291376	O	C-to-T	16R	A
-0.671837277465578	O	C-to-T	17L	A
-0.729848672814941	O	C-to-T	18R	A
1.47425644826522	O	C-to-T	19L	A
0.146897602138554	O	C-to-T	19R	A
0.274451962721453	O	C-to-T	21R	A
0.444123619698493	O	C-to-T	22R	A
-1.19414721051696	O	C-to-T	PAR1	PAR1
